ten,Gia,Tinh_trang,Kich_thuoc_man_hinh,Cong_nghe_man_hinh,Camera_truoc,Camera_sau,Chipset,Cong_nghe_NFC,Dung_luong_ram,Bo_nho_trong,Dung_luong_pin,The_SIM,Do_phan_giai_man_hinh,Tinh_nang_man_hinh,Loai_CPU,loai_san_pham
iPhone 15 Plus 256GB | Chính hãng VN/A,28990000.0,Có 17 cửa hàng có sản phẩm,6.7 inches,Super Retina XDR OLED,"12MP, ƒ/1.9",Chính 48 MP & Phụ 12 MP,Apple A16 Bionic,Có,6 GB,256 GB,4383 mAh,2 SIM (nano‑SIM và eSIM),2796 x 1290-pixel,"Dynamic Island
HDR display
True Tone
Wide color (P3)
Tần số quét 60 Hz
Haptic Touch
Lớp phủ oleophobia chống dấu vân tay
Độ sáng tối đa: 2000 nits
Mật độ điểm ảnh 460 ppi",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,Điện thoại
OPPO Reno12 5G (12GB 256GB),12990000.0,Có 45 cửa hàng có sản phẩm,6.7 inches,AMOLED,32MP,"50MP + OIS
Camera góc rộng: 8MP
Camera xóa phông: 2MP",MediaTek Dimensity 7300,Có,12 GB,256 GB,5000mAh,không có thông tin,không có thông tin,Tần số quét 120Hz,không có thông tin,Điện thoại
Điện thoại Itel P55 8GB 128GB NFC,2690000.0,Có 41 cửa hàng có sản phẩm,6.6 inches,IPS LCD,8 MP,"Camera góc rộng: 50 MP
Ống kính phụ: 0,08 MP",Unisoc T606 (12 nm),Có,8 GB,128 GB,5000 mAh,2 Nano-SIM,720 x 1612 (HD+),"Tần số quét 90Hz
Tỷ lệ 20:9 (mật độ ~ 267 ppi)",2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55,Điện thoại
iPhone 15 Pro 256GB | Chính hãng VN/A,31990000.0,Có 27 cửa hàng có sản phẩm,6.1 inches,Super Retina XDR OLED,"12MP, ƒ/1.9","Camera chính: 48MP, 24 mm, ƒ/1.78,
Camera góc siêu rộng: 12 MP, 13 mm, ƒ/2.2
Camera Tele 3x: 12 MP, 77 mm, ƒ/2.8",Apple A17 Pro 6 nhân,Có,8 GB,256 GB,3274 mAh,2 SIM (nano‑SIM và eSIM),2556 x 1179 pixels,"Tốc độ làm mới 120Hz
460 ppi
HDR
True Tone
Dải màu rộng (P3)
Haptic Touch
Tỷ lệ tương phản 2.000.000:1",không có thông tin,Điện thoại
Samsung Galaxy A35 5G 8GB 128GB,8290000.0,Có 47 cửa hàng có sản phẩm,6.6 inches,Super AMOLED,"13MP, f/2.2","Camera chính rộng: 50 MP OIS+HDR Camera Macro: 5MP, f/2.4
Camera siêu rộng: 8MP, f/2.2",Exynos 1380,Có,8 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),1080 x 2340 pixels (FullHD+),"Tốc độ làm mới 120Hz
1000 nits, Gorilla Glass 7",4 nhân 2.4 GHz & 4 nhân 2.0 GHz,Điện thoại
iPhone 14 Plus 128GB | Chính hãng VN/A,22990000.0,Có 16 cửa hàng có sản phẩm,6.7 inches,Super Retina XDR OLED,"12MP khẩu độ f/1.9, Autofocus","Camera chính: 12MP, 26 mm, ƒ/1.5
Camera góc siêu rộng: 12MP, 13 mm, ƒ/2.4, 120°",Apple A15 Bionic,Có,6 GB,128 GB,4325 mAh,2 SIM (nano‑SIM và eSIM),2778 x 1284 pixel,"Tần số quét 60 Hz, 458 ppi, HDR, True Tone, độ sáng 1200 nits , màn hình chống bám vân tay, 2,000,000:1
Kính cường lực Ceramic Shield",không có thông tin,Điện thoại
iPhone 15 256GB | Chính hãng VN/A,25990000.0,Có 20 cửa hàng có sản phẩm,6.1 inches,Super Retina XDR OLED,"12MP, ƒ/1.9",Chính 48 MP & Phụ 12 MP,Apple A16 Bionic 6 nhân,Có,6 GB,256 GB,3349 mAh,2 SIM (nano‑SIM và eSIM),2556 x 1179 pixels,"Dynamic Island
HDR display
True Tone
Wide color (P3)
Haptic Touch
Lớp phủ oleophobia chống dấu vân tay
Độ sáng tối đa: 2000 nits
Mặt kính cảm ứng: Kính cường lực Ceramic Shield
Tần số quét 60 Hz",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,Điện thoại
Samsung Galaxy S24 Ultra 12GB 512GB,37490000.0,Có 47 cửa hàng có sản phẩm,6.8 inches,Dynamic AMOLED 2X,"12 MP, f/2.2","Camera chính: 200MP, Laser AF, OIS
Camera: 50MP, PDAF, OIS, zoom quang học 5x
Camera tele: 10MP
Camera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚",Snapdragon 8 Gen 3,Có,12 GB,512 GB,5000mAh,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,1440 x 3120 pixels,"Độ sáng cao nhất 2,600 nits, 120Hz, HDR10+",không có thông tin,Điện thoại
Samsung Galaxy A05S 4GB 128GB,3990000.0,Có 47 cửa hàng có sản phẩm,6.7 inches,PLS LCD,"13 MP, f/2.0","Camera chính: 50MP, f/1.8
Camera chân dung: 2 MP, f/2.4
Camera macro: 2 MP, f/2.4",Snapdragon 680 8 nhân,Không,4 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tốc độ làm mới 90 Hz, 500 nits, Kính cường lực",4 nhân 2.4 GHz & 4 nhân 1.9 GHz,Điện thoại
Samsung Galaxy A25 5G 6GB 128GB,6590000.0,Có 40 cửa hàng có sản phẩm,6.5 inches,Super AMOLED,13 MP,"Chính 50 MP & Phụ 8 MP, 2 MP",Exynos 1280 8 nhân,Có,6 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),1080 x 2340 pixels (FullHD+),"Tần số quét 120 Hz Độ sáng tối đa: 1000 nits
Kính cường lực Corning Gorilla Glass 5",không có thông tin,Điện thoại
Infinix Note 40 Pro 8GB 256GB,5990000.0,Có 25 cửa hàng có sản phẩm,6.78 inches,AMOLED,"32MP, f/2.2, FF","108MP, f/1.75, 1/1.67""OIS
2MP, f/2.4
2MP, f/2.4",MediaTek Helio G99 Ultimate,Có,8 GB,256 GB,5000 mAh,2 SIM (Nano-SIM),1080 x 2436 pixels,"93.80%, 550nit
Tần số quét 120Hz
Kính cường lực 3D Corning Gorilla",2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55,Điện thoại
iPhone 15 Pro Max 512GB | Chính hãng VN/A,40990000.0,Có 44 cửa hàng có sản phẩm,6.7 inches,Super Retina XDR OLED,"12MP, ƒ/1.9","Camera chính: 48MP, 24 mm, ƒ/1.78,
Camera góc siêu rộng: 12 MP, 13 mm, ƒ/2.2
Camera Tele 5x: 12 MP, 120 mm, ƒ/2.8",Apple A17 Pro 6 nhân,Có,8 GB,512 GB,4422 mAh,2 SIM (nano‑SIM và eSIM),2796 x 1290-pixel,"Tốc độ làm mới 120Hz
460 ppi
2000 nits
HDR
True Tone
Dải màu rộng (P3)
Haptic Touch
Tỷ lệ tương phản 2.000.000:1",không có thông tin,Điện thoại
Xiaomi POCO M5 (6GB 128GB),4690000.0,Có 16 cửa hàng có sản phẩm,6.58 inches,IPS LCD,"Camera góc rộng: 5 MP, f/2.2, 1 / 5.0 "", 1.12µm","Camera góc rộng: 50 MP, f/1.8, PDAF
Camera macro: 2 MP, f/2.4
Camera góc sâu: 2 MP, f/2.4",MediaTek Helio G99 (6nm),Có,6 GB,128 GB,Li-Po 5000 mAh,2 SIM (Nano-SIM),1080 x 2408 pixels,"Kính cường lực Corning Gorilla Glass 3
Tần số quét 90 Hz, 500 nits",không có thông tin,Điện thoại
ZTE Blade V50 Design 8GB 128GB,,Có 45 cửa hàng có sản phẩm,6.6 inches,IPS LCD,"8MP, f/2.0","50MP, ƒ/1.8, AF
2M, ƒ/2.4, FF
2Mp, ƒ/2.4",Unisoc T606（UMS9230）,Không,8GB + Mở rộng 10GB,128 GB,5000 mAh,2 SIM (Nano-SIM),1080 x 2408 pixels,"16.7 triệu màu
Tần số quét 90Hz",không có thông tin,Điện thoại
Nubia Neo 8GB 256GB,4990000.0,Có 46 cửa hàng có sản phẩm,6.6 inches,IPS LCD,"8M, f/2.0, FF","50M AF,f/1.8 +2M, f/2.4",Chip Unisoc T820,không có thông tin,8 GB,256 GB,4500mAh,2 SIM (Nano-SIM),1080 x 2408 pixels,Tần số quét 120Hz,không có thông tin,Điện thoại
TECNO SPARK 20PRO+ 8GB 256GB,5490000.0,Có 11 cửa hàng có sản phẩm,6.78 inches,AMOLED,"32MP, f/2.2","Camera chính: 108MP, f/1.75
Camera Macro: 2MP, AI Camera, Đèn flash dọc bốn chiều",Mediatek Helio G99,Có,8GB + Mở rộng 8GB,256 GB,5000mAh,2 SIM (Nano-SIM),1080 x 2436 pixels,"Tần số quét 120Hz, 1000 nit, 1.07 tỷ màu, Kính Cường Lực Corning Gorilla Glass 5",Tiến trình 6nm,Điện thoại
"iPhone 16 Plus VN/A Giá rẻ giảm đến 4 triệu, trả góp 0%",25990000.0,Có 21 cửa hàng có sản phẩm,6.7 inches,Super Retina XDR OLED,"12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels","Camera chính: 48MP, f/1.6, 26mm, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao
Camera góc siêu rộng: 12MP, ƒ/2.2, 13 mm, Focus Pixels 100%, Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 4x Độ thu phóng kỹ thu",Apple A18,Có,không có thông tin,128 GB,không có thông tin,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,2796 x 1290-pixel,"Dynamic Island
Màn hình HDR
True Tone
Dải màu rộng (P3)
Haptic Touch
Tỷ lệ tương phản 2.000.000:1
Độ sáng tối đa 1000 nit
460 ppi
Lớp phủ kháng dầu chống in dấu vân tay
Hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,Điện thoại
iPhone 13 256GB | Chính hãng VN/A,20290000.0,Có 34 cửa hàng có sản phẩm,6.1 inches,Super Retina XDR OLED,"12MP, f/2.2","Camera góc rộng: 12MP, f/1.6
Camera góc siêu rộng: 12MP, ƒ/2.4",Apple A15,Có,4 GB,256 GB,3240 mAh,2 SIM (nano‑SIM và eSIM),2532 x 1170 pixels,"Màn hình super Retina XDR, OLED, 460 ppi, 1200 nits, Tần số quét 60 Hz, HDR display, công nghệ True Tone Wide color (P3), Haptic Touch, Lớp phủ oleophobic chống bám vân tay",không có thông tin,Điện thoại
Xiaomi 14 Ultra 5G (16GB 512GB),29990000.0,Có 15 cửa hàng có sản phẩm,6.73 inches,AMOLED,"32MP f/2.0
Dynamic Framing (0.8x, 1x)
HDR
Chế độ chân dung với khả năng kiểm soát làm mờ và độ sâu","50 MP, f/1.63 hoặc f/4.0, 23mm (góc rộng), kích thước 1"", PDAF đa hướng, Laser AF, OIS
50 MP, f/2.5, 120mm (tiềm vọng tele), Dual-Pixel PDAF, OIS, zoom quang 5x
50 MP, f/1.8, 75mm (tele), Dual-Pixel PDAF, OIS, zoom quang 3.2x
50 MP, f/1.8, 12m",Snapdragon 8 Gen 3,Có,16 GB,512 GB,5.000 mAh,2 SIM (Nano-SIM),3200 x 1440 pixel,"Tần số quét màn hình 120 Hz
HBM 1.000 nit
Công nghệ Dolby Vision®
TrueColor
Điều chỉnh cường độ sáng DC/Điều chỉnh cường độ sáng PWM 1920Hz",không có thông tin,Điện thoại
Samsung Galaxy S24 8GB 512GB,26490000.0,Có 10 cửa hàng có sản phẩm,6.2 inches,Dynamic AMOLED 2X,"12 MP, f/2.2","Camera chính 50 MP, f/1.8
Camera tele: 10 MP, f/2.4, PDAF, OIS, zoom quang học 3x
Camera góc siêu rộng: 12 MP, f/2.2, 120˚",Exynos 2400,Có,8 GB,512 GB,4.000 mAh,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,1080 x 2340 pixels (FullHD+),"120Hz, Độ sáng tối đa 2600 nits, Corning® Gorilla® Glass Victus® 2, 16 triệu màu",không có thông tin,Điện thoại
Tecno Pova 6 (8GB/256GB),6490000.0,Có 27 cửa hàng có sản phẩm,6.78 inches,AMOLED,Camera trước 32MP với đèn flash kép,108M + AI,MediaTek G99 Ultimate,Có,8 GB,256 GB,6.000 mAh,2 Nano-SIM,1080 x 2436 pixels,không có thông tin,2*A76 up to 2.2Ghz 6*A55 up to 2.0Ghz,Điện thoại
Xiaomi 13T 12GB 256GB,12990000.0,Có 1 cửa hàng có sản phẩm,6.67 inches,AMOLED,"20 MP, f/2,2","Camera chính góc rộng: 50 MP, 1/1.22"", f/1,9
Camera góc siêu rộng: 12 MP, f/2,2
Camera Tele: 50 MP, f/1,9",MediaTek Dimensity 8200-Ultra,Có,12 GB,256 GB,5.000 mAh,2 SIM (Nano-SIM),1220 x 2712 pixels,"Tần số quét 144 Hz
Dolby Vision, HDR10+, 2600 nits
Kính cường lực Corning Gorilla Glass 5","1 nhân 3.1 GHz, 3 nhân 3 GHz & 4 nhân 2 GHz",Điện thoại
TECNO SPARK Go 2024 4GB 64GB,2190000.0,Có 2 cửa hàng có sản phẩm,6.6 inches,IPS LCD,"8MP, f/2.0","13MP, f/1.8 + AI-CAM",Unisoc T606,Không,4GB + Mở rộng 4GB,64 GB,5.000 mAh,2 SIM (Nano-SIM),720 x 1612 (HD+),"Tần số quét 90Hz, Dynamic Port hiển thị nhiều thông tin",không có thông tin,Điện thoại
iPhone 11 128GB | Chính hãng VN/A,13990000.0,Có 35 cửa hàng có sản phẩm,6.1 inches,IPS LCD,"12 MP, ƒ/2.2 aperture","Camera kép 12MP:
- Camera góc rộng: ƒ/1.8 aperture
- Camera siêu rộng: ƒ/2.4 aperture",A13 Bionic,Có,4 GB,128 GB,3110 mAh,Nano-SIM + eSIM,1792 x 828 pixel,True-tone,không có thông tin,Điện thoại
Xiaomi 14 (12GB 256GB),22990000.0,Có 19 cửa hàng có sản phẩm,6.36 inches,LTPO OLED,"Camera góc rộng: 32 MP, f/ 2.2, PDAF","Camera góc rộng: 50 MP, f/1.6, 23mm, 2.4µm, PDAF, OIS
Camera chụp xa: 50 MP, f/1.9, 50mm, 1/2.88"", 0.61µm, PDAF, 2x optical zoom
Camera góc siêu rộng: 50 MP, f/1.8, 12mm, 122˚, 1/2.51"", PDAF",Qualcomm Snapdragon 8 Gen 3 (4 nm),Có,12 GB,256 GB,4610 mAh,2 SIM (Nano-SIM),"1200 x 2670 pixels,","Tần số quét màn hình 120 Hz, Màn hình siêu thị 1,5K, 68 tỷ màu, Dolby Vision, HDR10+, 2800 nits, HDR Vivid",không có thông tin,Điện thoại
Điện thoại Tecno Camon 30 8GB/256GB,6490000.0,Có 46 cửa hàng có sản phẩm,6.78 inches,AMOLED,"Camera đơn: 50 MP (Góc rộng), Tự động lấy nét (PDAF)
Đèn flash LED kép
Độ phân giải video: 1440p @ 30 fps, 1080p @ 30/60 fps","Camera kép:
50 MP, ƒ/1.9 (Góc rộng), 1/1.57"" Kích thước cảm biến, chống rung quang học (OIS) + chống rung điện tử (EIS)
2 MP (Chiều sâu)
Đèn flash LED kép, Dải động cao (HDR), Toàn cảnh
Độ phân giải video: 1440p @ 30 fps, 1080p @ 30/60 fps",Helio G99 Ultimate(6nm),Có,8 GB,256 GB,5000 mAh,Nano-SIM,1080 x 2436 pixels,Tần số quét 120Hz,"Lõi CPU: 8 lõi
Công nghệ CPU: 6 nm
Tốc độ tối đa của CPU: 2.2 GHz
Kiến trúc CPU: 64-bit
Vi kiến trúc: 2x 2.2 GHz – Cortex-A76, 6x 2.0 GHz – Cortex-A55
Loại bộ nhớ: LPDDR4X",Điện thoại
Samsung Galaxy S23 FE 8GB 256GB,16890000.0,Có 44 cửa hàng có sản phẩm,6.4 inches,Dynamic AMOLED 2X,10 MP,"50 MP & Phụ 12 MP, 8 MP",Exynos 2200 8 nhân,Có,8 GB,256 GB,4500 mAh,2 Nano SIM hoặc 1 Nano + 1 eSIM,1080 x 2340 pixels (FullHD+),"Tần số quét 120 Hz, 1450 nits
Kính cường lực Corning Gorilla Glass 5","1 nhân 2.8 GHz, 3 nhân 2.5 GHz & 4 nhân 1.8 GHz",Điện thoại
Điện thoại Sony Xperia 1VI 12GB 256GB,30490000.0,Có 12 cửa hàng có sản phẩm,6.5 inches,OLED,"24mm: 12MP 1/2.9"" Exmor RS cho cảm biến di động F2.0","16mm: 12 MP 1/2.5"" Exmor RS cho cảm biến di động F2.2
24mm: 52 MP (Toàn cảnh) / 48 MP (Effective) 1/1.35"" Exmor T cho cảm biến di động F1.9
85 - 170mm: 12 MP 1/3.5"" Exmor RS cho cảm biến di động F2.3 (85 mm) - F3.5 (170 mm)",Snapdragon 8 Gen 3 Mobile Platform,Có,12 GB,256 GB,5000 mAh,không có thông tin,không có thông tin,"Tần số quét 120Hz, Giảm nhòe do chuyển động 240 Hz, Tốc độ quét cảm ứng 240 Hz, Creator mode ""powered by CineAlta"", DCI-P3 100%, ITU-R BT.2020 (REC.2020), Illuminant D65 White point, 10-bit tonal gradation, Powered by BRAVIA, Sunlight Vision",không có thông tin,Điện thoại
TECNO SPARK Go 1 4GB 64GB,2490000.0,Có 37 cửa hàng có sản phẩm,6.67 inches,IPS LCD,8MP,13MP,Unisoc T615,không có thông tin,4 GB,64 GB,5000mAh,2 Nano-SIM,không có thông tin,120 Hz,không có thông tin,Điện thoại
Samsung Galaxy Z Flip6 12GB 512GB,32990000.0,Có 11 cửa hàng có sản phẩm,6.7 inches,Dynamic AMOLED 2X,"10.0 MP, f/2.2","Camera góc chụp rộng: 50.0 MP, f/1.8, thu phóng quang học 2x
Góc chụp siêu rộng: 12.0 MP, f/2.2",Snapdragon 8 Gen 3 for Galaxy Tăng lên 42% AI,Có,12 GB,512 GB,4000 mAh,2 Nano SIM hoặc 1 Nano + 1 eSIM,1080 x 2640 pixels,"Màn hình chính: 6.7 inch, 2640 x 1080 (FHD+), 120 Hz, độ sâu màu sắc: 16M, 1600nits
Màn hình phụ: 3.4"", 720 x 748, Super AMOLED, độ sâu màu sắc: 16M, 1600nits
Kính Corning® Gorilla® Glass Victus® 2","8 nhân 3.39 GHz, 3.1GHz, 2.9GHz, 2.2GHz",Điện thoại
Điện thoại Nubia V60 Design 6GB 256GB,2890000.0,Có 45 cửa hàng có sản phẩm,6.6 inches,không có thông tin,8MP FF,"50MP AI Camera
2MP FF+AI Camera",Unisoc T606,Không,6 GB,256 GB,5000mAh,2 SIM (Nano-SIM),720 x 1612 (HD+),Tần số quét 90Hz,Octa-Core 1.6GHz,Điện thoại
vivo Y03 4GB 64GB,,Có 15 cửa hàng có sản phẩm,6.56 inches,LCD,"5 MP, f/2.2","13 MP, f/2.2, PDAF
0.08 MP, f/3.0",MediaTek Helio G85,Không,4GB + Mở rộng 4GB,64 GB,5000 mAh,2 SIM (Nano-SIM),1612x720 (HD+),"90 Hz
Màn hình Sunlight, 70% NTSC, 269 ppi",2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55,Điện thoại
Samsung Galaxy S22 Ultra (8GB - 128GB),,Có 1 cửa hàng có sản phẩm,6.8 inches,Dynamic AMOLED 2X,"40 MP, f/2.2","108 MP, f/1.8 góc rộng
10 MP, f/4.9
10 MP, f/2.4
12 MP, f/2.2 góc siêu rộng",Snapdragon 8 Gen 1 8 nhân,Có,8 GB,128 GB,5000 mAh,2 Nano SIM hoặc 1 Nano + 1 eSIM,1440 x 3088 pixels (QHD+),"Tần số quét 120Hz,1750 nits",không có thông tin,Điện thoại
Xiaomi Redmi 13C 6GB 128GB,3490000.0,Có 1 cửa hàng có sản phẩm,6.74 inches,IPS LCD,8 MP,Chính 50 MP & Phụ 2 MP,MediaTek Helio G85 8 nhân,Không,6 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),720 x 1600 pixel,"Tần số quét 90Hz, Kính cường lực Corning Gorilla Glass, Độ sáng tối đa: 600 nits",không có thông tin,Điện thoại
TECNO SPARK 20 8GB 128GB,3490000.0,Có 2 cửa hàng có sản phẩm,6.56 inches,IPS LCD,32 MP,"50MP, f/1.6 | PDAF | 6P",MediaTek Helio G85,Không,8GB + Mở rộng 8GB,128 GB,5.000 mAh,2 SIM (Nano-SIM),720 x 1612 (HD+),"Tần số quét 90Hz, Dymanic Port hiển thị thông tin tiện ích",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Điện thoại
OPPO A79 5G (8GB 256GB),7490000.0,Có 34 cửa hàng có sản phẩm,6.72 inches,không có thông tin,8MP; f/2.0; FOV 80°; ống kính 4P,"Camera chính: 50MP; f/1.8; FOV 77°; ống kính 5P
2MP, f/2.4; FOV 89°; ống kính 3P; hỗ trợ FF",MediaTek Dimensity 6020 5G 8 nhân,Có,8 GB,256 GB,5000mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 90Hz, 391 PPI",2 nhân 2.2 GHz & 6 nhân 2.0 GHz,Điện thoại
Nokia 220 4G,,Có 35 cửa hàng có sản phẩm,2.8 inches,QQVGA,không có thông tin,không có thông tin,Unisoc T107,không có thông tin,không có thông tin,128 MB,1450 mAh,2 Nano-SIM,không có thông tin,QVGA,không có thông tin,Điện thoại
iPhone 14 Pro 256GB | Chính hãng VN/A,29990000.0,Có 1 cửa hàng có sản phẩm,6.1 inches,Super Retina XDR OLED,"Camera selfie: 12 MP, f/1.9, 23mm, PDAF","Camera chính: 48 MP, f/1.8, 24mm, OIS
Camera góc siêu rộng: 12 MP, f/2.2, 120˚, 1.4µm
Camera tele: 12 MP, f/2.8, PDAF, OIS, 3x optical zoom",Apple A16 Bionic,Có,6 GB,256 GB,3200 mAh,2 SIM (nano‑SIM và eSIM),2556 x 1179 pixels,"Công nghệ ProMotion với tần số quét 120Hz
Tỷ lệ tương phản 2.000.000: 1
Độ sáng tối đa: 2.000 nits (ngoài trời)",không có thông tin,Điện thoại
Samsung Galaxy S24 Plus 12GB 512GB,30490000.0,Có 3 cửa hàng có sản phẩm,6.7 inches,Dynamic AMOLED 2X,"12 MP, f/2.2","Camera chính góc rộng: 50 MP, f/1.8, Dual Pixel PDAF, OIS
Camera tele: 10 MP, f/2.4, PDAF, OIS, zoom quang học 3x
Camera góc siêu rộng: 12 MP, f/2.2, 120˚",Exynos 2400,Có,12 GB,512 GB,"4,900 mAh",SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,3120 x 1440 pixels (Quad HD+),"120Hz, Độ sáng tối đa 2600 nits, Corning® Gorilla® Glass Victus® 2, 16 triệu màu","3.2GHz,2.9GHz,2.6GHz,1.95GHz",Điện thoại
OPPO Find X5 Pro 12GB 256GB - Giá mới chỉ có tại CellphoneS,19990000.0,Có 44 cửa hàng có sản phẩm,6.7 inches,AMOLED,"Camera chính 32MP: f/2.4; FOV 90°, ống kính: 5P, lấy nét cố định","Camera chính: 50MP, f/1.7
Camera góc rộng: 50MP, f/2.2; FOV 112°
Camera tele: 13MP, f/2.4",Qualcomm Snapdragon 8 Gen 1,Có,12 GB,256 GB,5.000 mAh,2 SIM (Nano-SIM),1440 x 3216 pixels (QHD+),"Tần số quét 120 Hz (Dynamic)
1.07 tỉ màu
Corning Gorilla Glass Victus
Gam màu:
Chế độ sống động: 97% NTSC/100% DCI-P3 (Tiêu chuẩn)
Chế độ dịu nhẹ: 71% NTSC/100% sRGB (Tiêu chuẩn)
Độ sáng tối đa 1300 nits",MariSilicon X Imaging NPU,Điện thoại
iPhone 15 Pro Max 1TB | Chính hãng VN/A,46990000.0,Có 17 cửa hàng có sản phẩm,6.7 inches,Super Retina XDR OLED,"12MP, ƒ/1.9","Camera chính: 48MP, 24 mm, ƒ/1.78,
Camera góc siêu rộng: 12 MP, 13 mm, ƒ/2.2
Camera Tele 5x: 12 MP, 120 mm, ƒ/2.8",Apple A17 Pro 6 nhân,Có,8 GB,1 TB,4422 mAh,2 SIM (nano‑SIM và eSIM),2796 x 1290-pixel,"Tốc độ làm mới 120Hz
460 ppi
HDR
True Tone
Dải màu rộng (P3)
Haptic Touch
Tỷ lệ tương phản 2.000.000:1",không có thông tin,Điện thoại
Xiaomi Redmi Note 12 8GB 128GB,5790000.0,Có 1 cửa hàng có sản phẩm,6.67 inches,AMOLED,"13MP, f/2.45","Camera chính: 50MP, f/1.8
Camera góc rộng: 8MP, f/2.2, 120°
Camera Macro: 2MP, f/2.4",Qualcomm Snapdragon 685,Không,8 GB,128 GB,5000mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 120Hz, độ sáng 1200nits
Corning® Gorilla® Glass 3",không có thông tin,Điện thoại
iPhone 16 Pro 256GB chính hãng | Mua ngay ưu đãi 4 triệu,31990000.0,,6.3 inches,Super Retina XDR OLED,"12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels","Camera chính: 48MP, f/1.78, 24mm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao
Hỗ trợ Telephoto 2x 12MP: 52 mm, ƒ/1.6
Camera góc siêu rộng: 48MP, 13 mm, ƒ/2.2 và trường ảnh 120°, H",Apple A18 Pro,Có,không có thông tin,256 GB,không có thông tin,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,2622 x 1206 pixels,"Dynamic Island
Màn hình HDR
True Tone
Dải màu rộng (P3)
Haptic Touch
Tỷ lệ tương phản 2.000.000:1
Độ sáng tối đa 1000 nit
460 ppi
Lớp phủ kháng dầu chống in dấu vân tay
Hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,Điện thoại
Infinix Hot 40i 4GB 128GB,2390000.0,Có 17 cửa hàng có sản phẩm,6.56 inches,IPS LCD,"Camera góc rộng: 32 MP, f/2.2","Camera chính: 50MP, f/1.6 + AI CAM, f/2.0",Unisoc T606 (12 nm),Không,4 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),720 x 1612 (HD+),"Tần số quét 60/90Hz, 480 nits, Gamut phổ màu DCI-P3",không có thông tin,Điện thoại
TECNO POVA 5 8GB 128GB,4490000.0,Có 12 cửa hàng có sản phẩm,6.78 inches,LCD,"8 MP, f/2.0","Camera góc rộng: 50 MP, f/1.66, PDAF
Camera chiều sâu: f/2.0",Mediatek MT8781 Helio G99 (6nm),Có,8 GB,128 GB,6000mAh,2 SIM (Nano-SIM),1080x2460 pixels,"Tần số quét 120Hz, tần số cảm ứng 240Hz, 580 nits",2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55,Điện thoại
Điện thoại Sony Xperia 10VI 8GB 128GB,10990000.0,Có 16 cửa hàng có sản phẩm,6.1 inches,OLED,"26mm 8MP 1/4"" F2.0","16mm: 8MP 1/4“ F2.2
26mm: 48 MP (Hiệu quả) / 12 MP (Ghi)
1/2.0"" Exmor RS cho cảm biến di động F1.8",Snapdragon 6 Gen 1 Mobile Platform,Có,8 GB,128 GB,5000mAh,không có thông tin,không có thông tin,"Tần số quét 60Hz, Tốc độ quét cảm ứng 120Hz, DCI-P3 100%, Video Image Optimization, Triluminous display for mobile, Chế độ đa cửa sổ",không có thông tin,Điện thoại
OPPO A18 4GB 128GB,3990000.0,Có 40 cửa hàng có sản phẩm,6.56 inches,IPS LCD,"5 MP, f/2.2","Camera chính: 8 MP, f/2.0
Camera xóa phông: 2 MP, f/2.4",MediaTek Helio G85 8 nhân,Không,4 GB,128 GB,5000mAh,2 SIM (Nano-SIM),720 x 1612 (HD+),"Tần số quét 90Hz, 16 triệu màu, Kính cường lực Panda, 720 nits,","8 cores, up to 2.0GHz",Điện thoại
